"lccs_class","IGBP_STEMMUS_SCOPE"
0,"No vegetation"
10,"Croplands"
11,"Croplands"
12,"Croplands"
20,"Croplands"
30,"Cropland mosaics"
40,"Cropland mosaics"
50,"Evergreen Broadleaf Forest"
60,"Deciduous Broadleaf Forests"
61,"Deciduous Broadleaf Forests"
62,"Deciduous Broadleaf Forests"
70,"Evergreen Needleleaf Forests"
71,"Evergreen Needleleaf Forests"
72,"Evergreen Needleleaf Forests"
80,"Deciduous needleleaf forests"
81,"Deciduous needleleaf forests"
82,"Deciduous needleleaf forests"
90,"Mixed Forests"
100,"Woody savannas"
110,"Savannas"
120,"Closed shrublands"
121,"Closed shrublands"
122,"Closed shrublands"
130,"Grasslands"
140,"Not available in IGBP"
150,"Open shrublands"
151,"Open shrublands"
152,"Open shrublands"
153,"Open shrublands"
160,"Permanent Wetlands"
170,"Permanent Wetlands"
180,"Permanent Wetlands"
190,"Urban and built-up lands"
200,"Barren"
201,"Barren"
202,"Barren"
210,"Water bodies"
220,"Snow and ice"
